venue_region,season,bowler,balls,runs_conceded,wickets,dot_balls,innings_bowled,overs,economy,bowling_strike_rate,dot_ball_pct,runs_per_wicket
India,2014,Sandeep Sharma,175,296,12,71,8,29.17,10.15,14.58,40.57,24.67
India,2014,Shakib Al Hasan,234,262,13,93,10,39.0,6.72,18.0,39.74,20.15
India,2014,Shivam Sharma,96,121,3,34,4,16.0,7.56,32.0,35.42,40.33
India,2014,TG Southee,18,34,0,6,1,3.0,11.33,0.0,33.33,0.0
India,2014,UT Yadav,222,312,11,77,10,37.0,8.43,20.18,34.68,28.36
India,2014,V Shankar,6,19,0,1,1,1.0,19.0,0.0,16.67,0.0
India,2014,VR Aaron,131,219,8,50,6,21.83,10.03,16.38,38.17,27.38
India,2014,VS Malik,18,29,1,7,1,3.0,9.67,18.0,38.89,29.0
India,2014,WD Parnell,115,160,6,49,5,19.17,8.35,19.17,42.61,26.67
India,2014,Y Venugopal Rao,6,7,0,2,1,1.0,7.0,0.0,33.33,0.0
India,2014,YK Pathan,6,10,0,1,1,1.0,10.0,0.0,16.67,0.0
India,2014,YS Chahal,216,288,5,67,9,36.0,8.0,43.2,31.02,57.6
India,2014,Yuvraj Singh,106,156,6,28,7,17.67,8.83,17.67,26.42,26.0
India,2014,Z Khan,21,32,1,9,1,3.5,9.14,21.0,42.86,32.0
India,2015,A Ashish Reddy,36,51,4,9,4,6.0,8.5,9.0,25.0,12.75
India,2015,A Mishra,241,312,9,75,12,40.17,7.77,26.78,31.12,34.67
India,2015,A Nehra,372,453,25,170,16,62.0,7.31,14.88,45.7,18.12
India,2015,AB Dinda,30,63,0,4,2,5.0,12.6,0.0,13.33,0.0
India,2015,AD Mathews,180,249,7,61,10,30.0,8.3,25.71,33.89,35.57
India,2015,AD Russell,244,332,14,94,13,40.67,8.16,17.43,38.52,23.71
India,2015,AN Ahmed,72,129,2,26,3,12.0,10.75,36.0,36.11,64.5
India,2015,AR Patel,280,399,14,83,14,46.67,8.55,20.0,29.64,28.5
India,2015,Ankit Sharma,84,114,3,29,4,14.0,8.14,28.0,34.52,38.0
India,2015,Anureet Singh,310,477,16,105,14,51.67,9.23,19.38,33.87,29.81
India,2015,Azhar Mahmood,18,41,1,5,1,3.0,13.67,18.0,27.78,41.0
India,2015,B Kumar,310,419,19,126,14,51.67,8.11,16.32,40.65,22.05
India,2015,BB Sran,18,36,0,5,1,3.0,12.0,0.0,27.78,0.0
