batter,balls_faced,runs,fours,sixes,boundaries,dot_balls,strike_rate,dot_ball_pct,boundary_runs,boundary_run_pct
ML Hayden,430,535,61,22,83,206,124.42,47.91,376,70.28
GC Smith,469,527,67,8,75,212,112.37,45.2,316,59.96
HH Gibbs,493,515,51,19,70,255,104.46,51.72,318,61.75
Shahbaz Ahmed,443,508,26,24,50,172,114.67,38.83,248,48.82
OA Shah,405,506,34,23,57,149,124.94,36.79,274,54.15
SW Billings,399,503,40,20,60,152,126.07,38.1,280,55.67
E Lewis,403,503,44,29,73,196,124.81,48.64,350,69.58
PC Valthaty,420,499,60,20,80,221,118.81,52.62,360,72.14
Nithish Kumar Reddy,382,485,31,25,56,141,126.96,36.91,274,56.49
Rashid Khan,298,484,30,38,68,125,162.42,41.95,348,71.9
JP Faulkner,376,483,31,22,53,134,128.46,35.64,256,53.0
RR Rossouw,321,473,45,25,70,129,147.35,40.19,330,69.77
JJ Roy,335,464,54,20,74,144,138.51,42.99,336,72.41
WG Jacks,306,463,38,29,67,113,151.31,36.93,326,70.41
A Raghuvanshi,326,463,46,16,62,99,142.02,30.37,280,60.48
CJ Anderson,348,459,32,30,62,158,131.9,45.4,308,67.1
D Brevis,305,455,30,33,63,120,149.18,39.34,318,69.89
DT Christian,392,449,22,19,41,137,114.54,34.95,202,44.99
PJ Cummins,284,442,28,32,60,112,155.63,39.44,304,68.78
Gurkeerat Singh,353,440,47,11,58,129,124.65,36.54,254,57.73
TL Suman,394,439,37,18,55,179,111.42,45.43,256,58.31
AM Nayar,383,436,36,12,48,144,113.84,37.6,216,49.54
NLTC Perera,326,424,23,26,49,129,130.06,39.57,248,58.49
JR Hopes,314,417,49,11,60,120,132.8,38.22,262,62.83
M Manhas,400,413,33,9,42,161,103.25,40.25,186,45.04
R Ravindra,298,413,40,16,56,107,138.59,35.91,256,61.99
AL Menaria,367,401,24,18,42,152,109.26,41.42,204,50.87
Washington Sundar,328,400,32,14,46,126,121.95,38.41,212,53.0
SE Rutherford,310,397,25,26,51,131,128.06,42.26,256,64.48
Ashutosh Sharma,256,393,24,28,52,92,153.52,35.94,264,67.18
RS Bopara,344,393,31,9,40,125,114.24,36.34,178,45.29
Naman Dhir,226,392,37,23,60,74,173.45,32.74,286,72.96
Azhar Mahmood,311,388,39,13,52,124,124.76,39.87,234,60.31
RD Rickelton,266,388,47,17,64,116,145.86,43.61,290,74.74
J Fraser-McGurk,203,385,39,30,69,93,189.66,45.81,336,87.27
