venue_region,season,venue,matches,toss_win_match_win_pct,toss_win_bat_first_pct,toss_win_field_first_pct,toss_decision_unknown_pct
India,2015,"MA Chidambaram Stadium, Chepauk",7,57.1,71.4,28.6,0.0
India,2015,Feroz Shah Kotla,5,80.0,0.0,100.0,0.0
India,2015,Maharashtra Cricket Association Stadium,4,50.0,50.0,50.0,0.0
India,2015,"Punjab Cricket Association Stadium, Mohali",4,25.0,50.0,50.0,0.0
India,2015,"Rajiv Gandhi International Stadium, Uppal",4,25.0,75.0,25.0,0.0
India,2015,"Sardar Patel Stadium, Motera",4,50.0,50.0,50.0,0.0
India,2015,Brabourne Stadium,3,33.3,33.3,66.7,0.0
India,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3,66.7,33.3,66.7,0.0
India,2015,Shaheed Veer Narayan Singh International Stadium,2,50.0,100.0,0.0,0.0
India,2015,JSCA International Stadium Complex,1,100.0,0.0,100.0,0.0
India,2016,M Chinnaswamy Stadium,9,66.7,11.1,88.9,0.0
India,2016,Eden Gardens,7,57.1,14.3,85.7,0.0
India,2016,Feroz Shah Kotla,7,42.9,0.0,100.0,0.0
India,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",7,28.6,28.6,71.4,0.0
India,2016,"Rajiv Gandhi International Stadium, Uppal",7,71.4,14.3,85.7,0.0
India,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,33.3,50.0,50.0,0.0
India,2016,Saurashtra Cricket Association Stadium,5,40.0,40.0,60.0,0.0
India,2016,Maharashtra Cricket Association Stadium,4,75.0,0.0,100.0,0.0
India,2016,Wankhede Stadium,4,75.0,25.0,75.0,0.0
India,2016,Green Park,2,100.0,0.0,100.0,0.0
India,2016,Shaheed Veer Narayan Singh International Stadium,2,100.0,0.0,100.0,0.0
India,2017,"Rajiv Gandhi International Stadium, Uppal",8,37.5,37.5,62.5,0.0
India,2017,Wankhede Stadium,8,37.5,12.5,87.5,0.0
India,2017,Eden Gardens,7,57.1,0.0,100.0,0.0
India,2017,Feroz Shah Kotla,7,71.4,57.1,42.9,0.0
India,2017,M Chinnaswamy Stadium,7,71.4,0.0,100.0,0.0
India,2017,Maharashtra Cricket Association Stadium,7,71.4,0.0,100.0,0.0
India,2017,Saurashtra Cricket Association Stadium,5,40.0,20.0,80.0,0.0
India,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,50.0,0.0,100.0,0.0
India,2017,Holkar Cricket Stadium,3,66.7,33.3,66.7,0.0
India,2017,Green Park,2,100.0,0.0,100.0,0.0
India,2017,M.Chinnaswamy Stadium,1,100.0,100.0,0.0,0.0
India,2018,Eden Gardens,9,55.6,0.0,100.0,0.0
India,2018,Wankhede Stadium,9,55.6,0.0,100.0,0.0
India,2018,Arun Jaitley Stadium,7,28.6,28.6,71.4,0.0
India,2018,M.Chinnaswamy Stadium,7,57.1,0.0,100.0,0.0
India,2018,Rajiv Gandhi International Stadium,7,28.6,28.6,71.4,0.0
India,2018,Sawai Mansingh Stadium,7,57.1,71.4,28.6,0.0
India,2018,Maharashtra Cricket Association Stadium,6,66.7,0.0,100.0,0.0
India,2018,Holkar Cricket Stadium,4,75.0,0.0,100.0,0.0
India,2018,Punjab Cricket Association IS Bindra Stadium,3,66.7,33.3,66.7,0.0
India,2018,MA Chidambaram Stadium,1,100.0,0.0,100.0,0.0
India,2019,MA Chidambaram Stadium,8,50.0,25.0,75.0,0.0
India,2019,Rajiv Gandhi International Stadium,8,25.0,37.5,62.5,0.0
