match_id,season_id_x,team_batting,team_bowling,match_winner,result,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city,venue_region
548323,2012,494,6,494.0,win,2.0,,6.0,field,"Eden Gardens, Kolkata",Kolkata,India
548324,2012,134,1,134.0,win,59.0,,134.0,bat,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
548327,2012,1419,1,1.0,win,,6.0,1419.0,bat,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
548328,2012,494,6,6.0,win,,8.0,494.0,bat,"PCA Stadium, Mohali",Chandigarh,India
548329,2012,2,252,252.0,win,,9.0,2.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
548335,2012,6,2,6.0,win,,5.0,6.0,field,"Barabati Stadium, Cuttack",Cuttack,India
548349,2012,134,252,252.0,win,,6.0,134.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
548330,2012,129,1419,129.0,win,13.0,,1419.0,field,"MA Chidambaram Stadium, Chennai",Chennai,India
548331,2012,494,1,1.0,win,,5.0,1.0,field,"PCA Stadium, Mohali",Chandigarh,India
548332,2012,134,129,129.0,win,,7.0,134.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
548333,2012,1419,252,1419.0,win,20.0,,252.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi,India
548334,2012,3,494,494.0,win,,6.0,3.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
548336,2012,1,134,1.0,win,46.0,,134.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
548337,2012,1419,252,252.0,win,,8.0,1419.0,bat,"MCA Stadium, Pune",Pune,India
548339,2012,494,3,3.0,win,,4.0,494.0,bat,"PCA Stadium, Mohali",Chandigarh,India
548341,2012,2,1419,2.0,win,18.0,,2.0,bat,"MCA Stadium, Pune",Pune,India
548342,2012,252,3,252.0,win,37.0,,3.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi,India
548343,2012,494,129,494.0,win,7.0,,494.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
548344,2012,6,1,6.0,win,47.0,,6.0,bat,"Eden Gardens, Kolkata",Kolkata,India
548345,2012,252,134,252.0,win,1.0,,252.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
548346,2012,2,3,3.0,win,,5.0,3.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
548347,2012,129,6,6.0,win,,5.0,129.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
548348,2012,2,1419,2.0,win,13.0,,2.0,bat,"Barabati Stadium, Cuttack",Cuttack,India
548350,2012,1,494,494.0,win,,4.0,494.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
548351,2012,3,1419,3.0,win,1.0,,3.0,bat,"MCA Stadium, Pune",Pune,India
548352,2012,129,2,129.0,win,10.0,,129.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
