match_id,season_id_x,team_batting,team_bowling,match_winner,result,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city
1136571,2018,1,134,134.0,win,19.0,,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1136573,2018,252,6,6.0,win,71.0,,252.0,field,"Eden Gardens, Kolkata",Kolkata
1136572,2018,494,129,494.0,win,4.0,,129.0,field,"PCA Stadium, Mohali",Chandigarh
1136574,2018,3,1,3.0,win,46.0,,1.0,field,"Wankhede Stadium, Mumbai",Mumbai
1136575,2018,134,6,6.0,win,,7.0,6.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur
1136576,2018,494,2,494.0,win,15.0,,494.0,bat,"PCA Stadium, Mohali",Chandigarh
1136577,2018,129,134,129.0,win,64.0,,134.0,field,"MCA Stadium, Pune",Pune
1136578,2018,6,494,494.0,win,,9.0,494.0,field,"Eden Gardens, Kolkata",Kolkata
1136579,2018,252,1,1.0,win,,6.0,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1136580,2018,129,2,129.0,win,4.0,,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1136581,2018,3,134,134.0,win,,3.0,3.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur
1136582,2018,494,252,494.0,win,4.0,,252.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi
1136584,2018,129,1,129.0,win,,5.0,129.0,field,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1136583,2018,2,3,2.0,win,31.0,,3.0,field,"Wankhede Stadium, Mumbai",Mumbai
1136585,2018,2,494,2.0,win,13.0,,494.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
1136586,2018,252,6,252.0,win,55.0,,6.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi
1136587,2018,129,3,3.0,win,,8.0,3.0,field,"MCA Stadium, Pune",Pune
1136588,2018,2,134,2.0,win,11.0,,2.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur
